date,rainfall
Jan 2006,3.2
Feb 2006,0.0
Mar 2006,17.8
Apr 2006,2.8
May 2006,93.2
Jun 2006,90.2
Jul 2006,263.6
Aug 2006,66.3
Sep 2006,78.5
Oct 2006,0.4
Nov 2006,0.3
Dec 2006,2.4
Jan 2007,0.0
Feb 2007,49.8
Mar 2007,54.4
Apr 2007,0.0
May 2007,40.4
Jun 2007,83.8
Jul 2007,83.6
Aug 2007,216.8
Sep 2007,72.8
Oct 2007,0.0
Nov 2007,0.0
Dec 2007,0.0
Jan 2008,1.8
Feb 2008,0.0
Mar 2008,0.0
Apr 2008,31.0
May 2008,136.6
Jun 2008,100.7
Jul 2008,166.2
Aug 2008,299.1
Sep 2008,115.6
Oct 2008,0.0
Nov 2008,0.0
Dec 2008,0.0
Jan 2009,4.2
Feb 2009,6.5
Mar 2009,3.9
Apr 2009,2.0
May 2009,43.0
Jun 2009,5.4
Jul 2009,124.2
Aug 2009,188.6
Sep 2009,201.9
Oct 2009,0.3
Nov 2009,14.2
Dec 2009,1.0
Jan 2010,0.0
Feb 2010,14.2
Mar 2010,0.0
Apr 2010,1.2
May 2010,7.6
Jun 2010,4.6
Jul 2010,236.8
Aug 2010,338.8
Sep 2010,314.2
Oct 2010,22.0
Nov 2010,13.4
Dec 2010,0.3
Jan 2011,0.0
Feb 2011,49.9
Mar 2011,2.3
Apr 2011,2.2
May 2011,33.4
Jun 2011,104.2
Jul 2011,33.8
Aug 2011,272.4
Sep 2011,163.6
Oct 2011,0.0
Nov 2011,0.0
Dec 2011,0.0
Jan 2012,14.8
Feb 2012,0.0
Mar 2012,19.2
Apr 2012,9.0
May 2012,13.6
Jun 2012,12.4
Jul 2012,139.8
Aug 2012,274.0
Sep 2012,57.0
Oct 2012,11.0
Nov 2012,0.0
Dec 2012,8.6
Jan 2013,40.8
Feb 2013,109.4
Mar 2013,12.6
Apr 2013,11.6
May 2013,0.0
Jun 2013,151.0
Jul 2013,459.8
Aug 2013,521.9
Sep 2013,108.1
Oct 2013,109.0
Nov 2013,0.4
Dec 2013,6.8
Jan 2014,18.6
Feb 2014,63.5
Mar 2014,63.5
Apr 2014,16.4
May 2014,79.6
Jun 2014,59.6
Jul 2014,227.8
Aug 2014,124.3
Sep 2014,124.3
Oct 2014,0.0
Nov 2014,0.0
Dec 2014,26.4
Jan 2015,35.8
Feb 2015,0.0
Mar 2015,201.8
Apr 2015,51.8
May 2015,0.8
Jun 2015,124.4
Jul 2015,377.8
Aug 2015,261.3
Sep 2015,67.2
Oct 2015,0.0
Nov 2015,2.2
Dec 2015,0.0
Jan 2016,0.0
Feb 2016,1.4
Mar 2016,17.8
Apr 2016,0.6
May 2016,30.8
Jun 2016,17.4
Jul 2016,540.9
Aug 2016,388.2
Sep 2016,173.4
Oct 2016,37.8
Nov 2016,0.0
Dec 2016,0.0
Jan 2017,64.8
Feb 2017,0.0
Mar 2017,17.1
Apr 2017,8.0
May 2017,37.6
Jun 2017,290.8
Jul 2017,170.2
Aug 2017,202.0
Sep 2017,193.0
Oct 2017,0.0